CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
85,1,21,54,57,1,-1.0793032099441031,-0.29868288602549176
86,0,48,54,46,4,0.5910277195702988,-0.22414701113311275
87,1,55,57,58,4,0.6114024522151398,-0.11222840542474553
88,1,22,57,55,1,-0.9792761000514244,-0.17921229047658194
89,1,34,58,60,1,-0.5098513019682694,-0.12246230214584543
90,1,50,58,46,4,0.6850849739202418,-0.06732142058133568
91,1,68,59,55,4,1.3490150470703792,-0.003458580310760506
92,0,18,59,41,1,-0.8019003729631303,-0.09108437391815236
93,0,48,60,49,4,0.49778213740431143,0.00020252783444299442
94,1,40,60,40,4,0.33896624316376844,-0.003904166099202048
95,1,32,60,42,1,-0.12142306862307674,-0.02414218599126634
96,0,24,60,52,1,-0.8011385022617785,-0.05611207930763554
97,1,47,60,47,4,0.5019189452017905,0.0009723647485207249
98,1,27,60,50,1,-0.594222803802359,-0.04668971662556381
99,0,48,61,42,4,0.6878594462794289,0.04859274899765482
100,0,20,61,49,1,-0.9235031449745298,-0.022240320624570202
101,1,23,62,41,1,-0.5539259028714749,0.03410577904267523
102,1,49,62,48,4,0.572226529810765,0.08008180728836968
103,0,67,62,59,4,1.1831581202431953,0.1028868472859236
104,0,26,62,55,1,-0.7856624481157679,0.020064394876137176
105,0,49,62,56,4,0.3529004079589087,0.06834993386406477
106,1,21,62,42,1,-0.6827311134339275,0.02831303198064008
107,1,66,63,50,4,1.3773722369157917,0.15204690536321314
108,0,54,63,46,4,0.878698625855898,0.13195526477138345
109,0,68,63,43,4,1.6706720388671361,0.1666385574934769
110,0,66,63,48,4,1.432203767378756,0.15497987371928937
111,0,65,63,52,4,1.2718459837873424,0.14695080556513837
112,1,19,63,54,1,-1.114942789287939,0.04451379087713074
113,1,38,64,42,3,0.17541307638880668,0.1413359303285048
114,0,19,64,46,1,-0.8974497151813396,0.09437049621838066
115,1,18,65,48,1,-1.0048090160550458,0.12739922833725095
116,1,19,65,50,1,-1.0089458238525246,0.12662939142317323
117,1,63,65,43,4,1.4135323300491964,0.23207256411737442
118,1,49,65,59,4,0.2651539690286921,0.17832497708078549
119,1,51,67,43,4,0.8015295625728611,0.28236465064728233
120,1,50,67,57,4,0.36701412666662764,0.2596707407127503
121,0,27,67,56,1,-0.7715487294080491,0.2113852017248226
122,1,38,67,40,3,0.22474546361600015,0.25864339443541606
123,1,40,69,58,2,-0.17101496071021985,0.3128226059486171
124,0,39,69,91,2,-1.1264299360146122,0.2622654966313609
125,1,23,70,29,3,-0.2396011020557453,0.3567022445146928
126,1,31,70,77,2,-1.150000051843002,0.3036160555048514
127,0,43,71,35,3,0.6079657121198087,0.42929080020337934
128,0,40,71,95,2,-1.1890643697655687,0.33481235519509694
129,0,59,71,11,3,2.07705964032314,0.4990965235482701
130,0,38,71,75,2,-0.7421385104668984,0.3598157758718622
131,0,47,71,9,3,1.5235544988002823,0.4760719146003643
132,0,39,71,75,2,-0.6914437878014132,0.36197890731386073
133,1,25,72,34,3,-0.2789565783726989,0.42994575034238924
134,1,31,72,71,2,-0.9891715559446234,0.38866462440697
135,0,20,73,5,3,0.2607939522675974,0.49978296621244717
136,1,29,73,88,2,-1.5584620579560449,0.3975329624132701
137,1,44,73,7,3,1.4226357657762772,0.5487651524643349
138,0,32,73,73,2,-0.9951414114873591,0.4260196194098374
139,0,19,74,10,3,0.07118735569944495,0.528412245797203
140,1,35,74,72,2,-0.8174745260046783,0.4721003298308161
141,1,57,75,5,3,2.1328325954000342,0.6560684934002818
142,0,32,75,93,2,-1.5471228116075135,0.4729395996829652
143,1,28,76,40,3,-0.2986991927461632,0.580135567267936
144,1,32,76,87,2,-1.3844612679638781,0.5198633366681389
145,0,25,77,12,3,0.31502501799362137,0.6528325618439528
146,0,28,77,97,2,-1.8632308586858959,0.5346708010367086
147,0,48,77,36,3,0.8230252737442113,0.6673889647370037
148,1,32,77,74,2,-1.0298893676998686,0.5770524628995793
149,1,34,78,22,3,0.49528682192291046,0.6957607349585033
150,0,34,78,90,2,-1.3689852138178675,0.5960398108519117
151,0,43,78,17,3,1.0886181520696874,0.7225613388266804
152,0,39,78,88,2,-1.0606800700274777,0.6097884364179804
153,1,44,78,20,3,1.0570655790407264,0.7203250177345646
154,1,38,78,76,2,-0.7823856099151785,0.6252231151124392
155,1,47,78,16,3,1.31881280796311,0.7326803487727125
156,1,27,78,89,2,-1.696432507244782,0.5823643749359602
157,0,37,78,1,3,1.2231020597804891,0.7330462970232992
158,1,30,78,78,2,-1.2427749217020239,0.6049850952203749
159,0,34,78,1,3,1.0710178917840332,0.7265569026973037
160,1,30,78,73,2,-1.1056960955446136,0.6123175161105655
161,1,56,79,35,4,1.2523327248090608,0.7624101642849201
162,1,29,79,83,2,-1.432381518270176,0.6336143748051308
163,0,19,81,5,3,0.19543484764005697,0.8026184901060086
164,1,31,81,93,2,-1.6088158207445398,0.6995254597426368
165,0,50,85,26,3,1.1839079894279472,0.9913787247369421
166,1,36,85,75,2,-0.8691906242314645,0.8892371598250958
167,0,42,86,20,3,0.9410117517477014,1.0209974101861279
168,1,33,86,95,2,-1.571423144602818,0.8915429138552828
169,1,36,87,27,3,0.4431000113891593,1.035878064204815
170,0,32,87,63,2,-0.7466464276061346,0.9744321080274487
171,0,40,87,13,3,1.029699615291848,1.0650613684653427
172,0,28,87,75,2,-1.2784145010458596,0.9481817721229975
173,0,36,87,10,3,0.9091680203243537,1.060808295231463
174,0,36,87,92,2,-1.338924728657173,0.9405565926323378
175,1,52,88,13,3,1.6362032395324133,1.1291437776862696
176,1,30,88,86,2,-1.4804315210064487,0.9745015409655203
177,0,58,88,15,3,1.8855400450623598,1.1391895979821842
178,0,27,88,69,2,-1.1664476800677095,0.9929423776661723
179,0,59,93,14,3,1.954485294233043,1.333443373186946
180,0,35,93,90,2,-1.3457862073312352,1.1700754210480853
181,1,37,97,32,3,0.3383854304446657,1.411957093926073
182,1,32,97,86,2,-1.3955395053827901,1.3219512911020226
183,0,46,98,15,3,1.2588728956239696,1.4944803398476527
184,1,29,98,88,2,-1.6042882515874666,1.3506537603368958
185,1,41,99,39,3,0.3455878689957183,1.4865938942816903
186,0,30,99,97,2,-1.8021684637505766,1.3777433660934961
187,1,54,101,24,3,1.412189646628742,1.6129615295321325
188,0,28,101,68,2,-1.1121668128590814,1.4921948082064944
189,1,41,103,17,3,0.9414025131072955,1.6713558738663088
190,1,36,103,85,2,-1.1763431359609082,1.560819292549725
191,1,34,103,23,3,0.42204486306000716,1.6474150487040906
192,1,32,103,69,2,-0.9404697829191366,1.5756305136303406
193,0,33,113,8,3,0.7642561414141842,2.048497499102114
194,1,38,113,91,2,-1.2577787594713987,1.9375949695349435
195,1,47,120,16,3,1.241824802662322,2.333923289284403
196,1,35,120,79,2,-1.093705078906868,2.2155772087640195
197,1,45,126,28,3,0.8004478880820262,2.540748207765619
198,0,32,126,74,2,-1.1197087072174543,2.445169226829885
199,0,32,137,18,3,0.3954106205477141,2.9466654918864146
200,0,30,137,83,2,-1.4880035648295886,2.8470177574299402
